,title,title_pl,imdb_title,year,rating,votes,countries,imdb_id
84,A Dog Called Money,PJ Harvey. A Dog Called Money,A Dog Called Money,2019,6.6,755,"Ireland, United Kingdom, United States",8299778
61,Mau,Mau. Guru designu,X,2022,6.6,115118,"United States, Canada",13560574
20,Donbass,Donbas,Donbass,2018,6.6,4590,"Germany, Ukraine, France, Netherlands, Romania, Poland",8282042
105,The Swedish Theory of Love,Szwedzka teoria miłości,The Swedish Theory of Love,2015,6.6,1723,Sweden,4716560
104,Les Cowboys,Szukając Kelly,Les Cowboys,2015,6.6,2187,"France, Belgium",4228294
131,Like Crazy,Zwariować ze szczęścia,Like Crazy,2011,6.6,62200,United States,1758692
39,Raising a School Shooter,Jak wychować nastoletniego mordercę,Raising a School Shooter,2021,6.6,277,"Denmark, Belgium, Sweden, France",14515216
11,"Oh, it Hertz!",Cały ten dźwięk,"Oh, It Hertz!",2021,6.6,39,Norway,14209910
44,The Rossellinis,Klan Rossellinich,The Rossellinis,2020,6.6,183,"Italy, Latvia",12749696
57,Marek Edelman ...and There Was Love in the Ghetto,Marek Edelman ...i była miłość w getcie,Marek Edelman... And There Was Love in the Ghetto,2019,6.6,29,"Poland, Germany",11064792
80,Eye on Juliet,Oko na Julię,Eye on Juliet,2017,6.5,515,"Canada, France, Morocco",4702752
113,Screened Out,Uzależnieni od ekranu,Screened Out,2020,6.5,149,Canada,6809010
49,The Prince and the Dybbuk,Książę i dybuk,Ant-Man and the Wasp: Quantumania,2023,6.5,55487,"United States, Australia, Canada",10954600
122,Be My Voice,Własnym głosem,Be My Voice,2021,6.4,897,Sweden,13979914
128,The Savior For Sale,Zbawiciel na sprzedaż,I Am Not for Sale: The Fight to End Human Trafficking,2019,6.4,24,United States,7831374
85,Spaceship Earth,Planeta 2.0,Spaceship Earth,2020,6.4,1950,United States,11394188
64,The Meaning of Hitler,Mit Hitlera,The Meaning of Hitler,2020,6.3,397,United States,13490106
83,Lost in Paris,Paryż na bosaka,Lost in Paris,2016,6.3,3473,"France, Belgium",2936884
30,Herbert. Barbarian in the Garden,Herbert. Barbarzyńca w ogrodzie,Herbert. Barbarian in the Garden,2021,6.2,8,Poland,15223708
15,The Cleaners,Czyściciele internetu,Cleaners,2013,6.2,621,United States,3147692
121,Tower. A Bright Day.,Wieża. Jasny dzień.,Tower. A Bright Day.,2017,6.2,634,"Poland, Czechia",7419360
29,Grace Jones: Bloodlight and Bami,Grace Jones,Grace Jones: Bloodlight and Bami,2017,6.2,1240,"Ireland, United Kingdom",6903636
40,Jean Paul Gaultier: Freak And Chic,Jean Paul Gaultier. Szyk i krzyk,Jean Paul Gaultier: Freak and Chic,2018,6.2,55,France,10374438
55,Magical Nights,Magiczne noce,Magical Nights,2018,6.1,1584,Italy,8222408
35,Jawline,Influencer. W pogoni za lajkami,Jawline,2019,6.1,551,United States,8499102
9,Scars,Blizny,Scars of Dracula,1970,6.1,5909,United Kingdom,0067713
93,Robolove,Robolove,Robolove,2019,5.9,34,Austria,12186572
31,High Life,High Life,High Life,2018,5.8,37226,"France, United Kingdom, Germany, Poland, United States",4827558
51,Little Joe,Kwiat szczęścia,Little Joe,2019,5.8,8372,"Austria, United Kingdom, Germany, France",9204204
123,From Within,Z wnętrza,From Within,2008,5.6,7805,United States,1063056
13,Creative Control,Creative Control,Creative Control,2015,5.4,2240,United States,3277624
74,Forget me not,Nie zapomnij mnie,Forget Me Not,2009,5.1,6272,United States,1147684
110,A Thousand Cuts,Tysiące małych ran,A Thousand Little Cuts,2022,5.0,454,United States,11244558
36,Girl Gang,Instagramowa rodzina,Girl Gang,1954,4.6,303,United States,0171344
37,Let the Sunshine In,Isabelle i mężczyźni,Army of Lovers: Let the Sunshine In,2001,,,Sweden,10686452
56,The Painter and the Thief,Malarka i złodziej,The Painter and the Thief,,,,United States,13494014
72,White Cube,Nasze białe muzeum,White Cube,2019,,,Poland,14160564
82,The Last Generation,Ostatnie pokolenie,The Last Generation,2021,,,Poland,15223688
86,The Importance of Being an Architect,Po co nam architekci?,The Importance of Being an Architect,2022,,,Italy,20216458
98,Who We Were,Skąd przybywamy,Who Were We Running From?,,,,Turkey,16163746
103,The Art of Silence,Sztuka milczenia,The Art of Silence,,,,United States,5051454
